ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
448,陳政佑,臺北市,畫笑臉,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-07-28/3ba45eb7-0b27-4163-a0c9-93a137f115a3/7e926f23653e6932051e78f4cc01f694.jpg
449,蔡志新,臺北市,創意造型氣球,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/54369f75-74e4-4cb8-92ba-c01e145e25a2/81b74222c2b99e3cb36c7c661e6ba773.jpg
450,劉晏成,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-01-04/527bd173-eaf3-40a5-abd2-baf1107db51c/7fe6e772b1ab2b7f67a61d1f2a155919.jpg
451,后御群,臺北市,花式溜溜球,表演藝術,
452,黃大晏,臺北市,水晶球雜耍,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-07-27/0fa0b01d-ada7-4996-b2ab-e9e2fa647c7f/3ec615d20ba98ce4368c109115ee6496.jpg
453,羅挺倬,臺北市,人物肖像、電腦繪圖創作,視覺藝術,https://cloud.culture.tw/c_upload_busker/image/2018-10-01/23c7167c-976a-4975-97f4-726463fd161d//8e12e2fa5e34780c65802f3deda7c40d.jpg
454,王立涵,臺北市,人像速寫,視覺藝術,
455,周彥吟,臺北市,捏麵人,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-01-04/f548b542-6c72-43de-879e-7dc8ed1fdec5/27f08c4095369bbc2db25a933978b726.JPG
456,吳志偉,臺北市,造型氣球表演,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2018-01-04/7b6e062e-0336-42cc-943a-9a5b93b68c17/2254fa495a46ce7188b7fc6b3f131fe5.jpg
457,黃志豪,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2018-06-20/1077b00e-872a-4cdb-966d-8b611bec63a3//f439393d68dba1d65551df8d91007fe3.jpg
458,徐新福,臺北市,吉他彈唱,表演藝術,
459,陸羿丞,臺北市,手風琴,表演藝術,
460,方治權,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2016-07-27/1a432cca-50cf-4b30-a0a6-9cdaa52cd64b/0b7817edc1d9d079bb6b101de6657c8a.jpg
461,林志遠,臺北市,薩克斯風,表演藝術,
462,林俊宏,臺北市,木吉他彈唱,表演藝術,
463,顏甫成,臺北市,木吉他彈唱,表演藝術,
464,張德寧,臺北市,薩克斯風,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-06/0c5c4096-3a92-45cd-bb46-c874cb45ffa9/c093fcae8e648404693db7a4bad478a6.png
465,李漢威,臺北市,吉他彈唱、吉他獨奏,表演藝術,
466,陳懷恩,臺北市,吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-06/348a8f7c-b4f9-45ac-be80-91d0f07dbfca/2bdbb1dd76d420e59b8a527f96530ce8.jpg
467,周珮琪,臺北市,歡樂造型氣球,表演藝術,
468,蔣凱麒,臺北市,花式籃球,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/c9c5b6b3-1abf-488d-8d82-4b6d6c24ea86/82751716648ddce44de373f50a3b51b1.jpg
469,楊惟皓,臺北市,街舞,表演藝術,
470,劉佩芬,臺北市,繪本說故事,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-04-06/e67f566c-25da-4df6-8f47-7569545e7491/c8d186ff2837ef8025d9b4e16043e686.png
471,馮朝漢,臺北市,魔術氣球,表演藝術,
472,黃彥豪,臺北市,小丑創意氣球,表演藝術,https://cloud.culture.tw/c_upload_busker/image/2018-06-21/5c068803-4ab8-4ce7-9cd6-b1eb23d3e9ea/1f56f3f46db666acccffca74bdc98984.jpg
473,宋垣璋,臺北市,行動雕像,表演藝術,
