ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
73,國立歷,史博物,,館,,,,門牌比對失敗或格式有誤,,,
74,臺北市,中正區,黎明里,襄陽路25號(臺博館斜對面),A6305-02,A6305-02-008,A6305-0059-00,AL0-F2-0-2020M07,121.514331352928,25.0435394080095,EPSG:4326
75,臺南市,安南區,淵西里,安中路四段290巷325弄65號,A6735-21,A6735-21-002,A6735-0509-00,AL0-F1-0-2020M07,120.171415548374,23.0536887549199,EPSG:4326
76,新北市,蘆洲區,中華里,中山二路162號2樓,A6514-50,A6514-50-006,A6514-0520-00,AL0-F2-0-2020M07,121.470990485193,25.0811887373298,EPSG:4326
77,基隆市,仁愛區,文昌里,港西街四號,A1704-01,A1704-01-001,A1704-0001-00,AL0-F2-0-2020M07,121.740088465896,25.1326227944706,EPSG:4326
78,臺中市,霧峰區,本堂里,中正路738-1號,A6626-19,A6626-19-007,A6626-0306-00,AL0-F2-0-2020M07,120.699230603855,24.0585471308112,EPSG:4326
79,,,,,,,,門牌比對失敗或格式有誤,,,
80,臺南市,中西區,大涼里,中華西路二段34號,A6737-18,A6737-18-012,A6737-0351-00,AL0-F1-0-2020M07,120.187465390502,22.9920975388783,EPSG:4326
81,臺北市,信義區,,WestDr.SunYat-sen’sHistoryExhibitionRoom(1F),,,,門牌比對失敗或格式有誤,,,
82,屏東縣,車城鄉,後灣村,後灣路2號,A1323-06,A1323-06-010,A1323-0209-00,AL0-F1-0-2020M07,120.698546720028,22.0503279084969,EPSG:4326
83,苗栗縣,竹南鎮,,公園路206號,,,,門牌比對失敗或格式有誤,,,
84,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
85,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
86,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
87,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
