ID_SA,NAME_SA,COUNTRY_SA,THEME_SA,CLASSIFICATION_SA,imageUrl
865,林信宏,臺北市,歌唱、薩克斯風演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/6563cae2-5597-4cea-ae8f-c9a108d9cddc/6b6fdab87e05a02e61d78fedb75e7ef0.jpg
866,曾靖倫,臺北市,木吉他彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/de51e66e-5c9d-4bb1-b123-7bb79a5affb2/305a29720bcab528949dc35e1913c436.jpg
867,曹昌元,臺北市,魔幻藝術秀,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/c36e9ff6-5122-452c-89fa-8abb0eab2c77/c27ed21f44d9835ee6b0af2d0115eba8.jpg
868,紀詠勳,臺北市,扯鈴,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-03/2b2ad02e-d5b0-484b-8fef-310e2027c44d/3c2fdd230159bd82259fae1c60cf6339.JPG
869,黃意驊,臺北市,Julia似顏繪,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/d4a809c4-f522-4d00-a55e-ee9a5adaa20a/8e3682557bed973bd0fea192234396a1.jpg
870,俞政光,臺北市,現場人物肖像畫，誇張人物漫畫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/ee6b6e5c-78c5-4f94-9304-be792e031300/783e7e9e946058f0ad2b23783bf85fe9.jpg
871,吳禎,臺北市,"似顏繪,現場寫生",視覺藝術,
872,賴慶賀,臺北市,人物水彩繪畫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/c3a743cf-a00d-4c7e-b0d9-cfd78c9cdf9b/44678f4366eaf1a8d568d5c065b96cb2.jpg
873,王有鄰,臺北市,人像素描,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/ce8f513f-a1f9-4bbb-aab2-1aaa45d2998d/19648e5da8f378ce160f52790c0773db.jpg
874,游鑾,臺北市,彩繪、捏麵創作,創意工藝,
875,劉華安,臺北市,鋁線藝術,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/7409c877-6d77-4498-8c1a-313e06eca5d7/eab06b3ceeabb7cc44536cbe72190026.jpg
876,顏志宇,臺北市,打包帶編織及創意童玩,創意工藝,
877,蕭湘婷,臺北市,電子琴彈唱,表演藝術,
878,蔡慕珍,臺北市,吉他彈唱、電子琴彈唱,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/c5c6ae1e-ed7e-4d77-84bb-003e9826de2a/9155dabefc5dd72763cf792b087b70ad.jpg
879,羅上宸,臺北市,吉他彈唱,表演藝術,
880,AEONWOOD,臺北市,打擊樂演奏,表演藝術,
881,洪翊暘,臺北市,楊琴演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/5b65085a-bb7f-4bee-bcf9-24856145bead/5ab8adb6234dbfb355cb138521284f9f.jpg
882,羅仕茹,臺北市,爵士鼓演奏,表演藝術,
883,黃驥軒,臺北市,電子琴演奏,表演藝術,
884,廖翊婷,臺北市,電子琴彈唱,表演藝術,
885,陶路易,臺北市,掙脫術,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-07/f296e918-5cac-4cac-b202-9f0327964a55/64e5ec12741623ff6659c6f6f2b0d5a6.jpg
886,黃耀宗,臺北市,舞蹈、戲劇,表演藝術,
887,ARHINFULRICHARD,臺北市,馬戲表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/31c3bf13-9020-43bc-a217-828ee5d860a6/00cc2899629a55e43d8a16f802640d0c.jpg
888,林桓宇,臺北市,魔術,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/3dd31241-03ba-4274-a553-5fe28c9fe8d7/dfd1f6836b237c8acc825cca016ac3c4.jpg
889,于學立,臺北市,喜劇舞蹈、雜耍,表演藝術,
890,戴邦祐,臺北市,花式扯鈴,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/8c067805-e094-4aae-9e33-cc277e9ca7a4/10e3707bb8388664ef87d9b33b3b8768.jpg
891,許值銓,臺北市,接觸性雜耍,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/a8e86d36-6646-406a-9ff2-0999cbd3bc45/93ba0b87f0e6ae1ec4ec35f532d0eca3.jpg
892,李彥宏,臺北市,魔術、舞蹈,表演藝術,
893,杜福安,臺北市,Q版漫畫、人像速寫,視覺藝術,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/bc0e70ee-e845-42a4-8be5-cdd643a19f68/742cfdd36bf2c8b9a20b283453dd6fa0.jpg
894,林逢盛,臺北市,金屬工藝,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/f7a5dd91-de11-4e46-948d-1867b876e7c1/61847a6753a7c29c350da69f84b0ab20.jpg
895,汪哲宇,臺北市,造型氣球,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/8f5b86dc-c2fd-4f5d-ba4d-e3c5d05b53bc/91cf1429070c032d9021dfce85dda7a8.jpg
896,游玄玄,臺北市,黏土創作,創意工藝,https://cloud.culture.tw/c_upload_busker/performer/personal/image/2017-08-01/6c3e6890-276a-48bf-bfc0-5f8190eea1d1/c253b002d9ebafe209d09553c6f6444c.jpg
897,風華愛現,臺北市,歌藝舞曲表演,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-08-01/e869190b-e7fb-47c9-8515-c101004f4a0d/62c66d21e4e17c03ed42babb65fc6456.jpg
898,雅品樂團,臺北市,薩克斯風(Saxophone)的演奏,表演藝術,
899,禾音那卡西樂團,臺北市,北投那卡西歌唱,表演藝術,
900,傑克魔術,臺北市,魔術,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-08-01/fceb274b-9b4e-48ee-aec1-ab09146aabdf/d6a5d617cba9ae9458fa482b992963cd.jpg
901,SENSATION樂團,臺北市,樂團演奏及演唱,表演藝術,
902,Mr.Dream,臺北市,雅痞都市街頭演唱,表演藝術,
903,真愛家庭,臺北市,樂器彈奏及演唱,表演藝術,
904,光合作用,臺北市,樂團,表演藝術,
905,翠笛笙歌,臺北市,陶笛演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-08-01/086ff2df-9996-4b6a-adfd-4d5a708424fa/633ad1090174b0b5ecc10c360796fb0b.jpg
906,西非輕打擊,臺北市,非洲鼓打擊吟唱,表演藝術,
907,蜂蜜檸檬樂團,臺北市,樂團演奏,表演藝術,
908,街頭小提琴尬大提琴,臺北市,樂團演奏,表演藝術,https://cloud.culture.tw/c_upload_busker/performer/team/image/2017-08-01/226353eb-a752-4431-98f2-3ec8e829f762/b4f05a0074cd6dcec2024d15c525c1d6.jpg
